TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
7.0958,2.6634,15.0104,11.7643,58.2598,18.4384,63.1369,20.817,61.9688,9.9265,9.8597,0.8174
38.8827,36.1321,84.9717,21.0064,3.3312,86.2452,299.5897,42.0411,71.9786,10.7543,28.5739,3.4387
19.3912,14.2318,19.5496,18.0157,18.6934,27.6695,32.319,36.019,27.0339,13.5775,29.4599,7.7294
72.6542,55.0097,148.6256,68.6815,47.7349,167.6905,100.4085,82.9869,140.6598,91.0776,123.0568,32.3284
0.33,0.2921,0.22,0.5441,0.0977,0.4033,0.1862,0.5754,2.2083,0.5128,0.0811,0.0779
0.0,0.0144,0.0218,0.1529,23.1249,0.0,0.0708,0.0,0.0581,0.2352,0.0365,0.1364
67.8961,53.6374,90.748,89.1222,39.6456,152.1542,78.4795,210.58,52.4606,69.1824,87.1894,52.0022
12.8459,14.5466,5.009,20.1793,11.3472,7.495,10.7696,15.1429,44.849,12.4496,5.8902,4.3525
0.6822,52.071,12.6824,1.4715,1.0431,1.5274,3.2171,3.5833,3.4572,90.3136,3.5796,0.6477
4.9941,2.6829,2.1652,10.7364,4.1642,3.2588,1.7503,13.518,10.4233,3.1033,3.6792,1.7939
7.3032,27.1041,23.135,32.691,2.6012,24.1274,13.5107,8.5637,47.3919,46.702,18.9701,17.4993
3.4343,5.8044,3.7003,1.1557,0.9311,5.1072,4.8798,27.785,1.2905,11.8186,2.2752,5.9216
0.0,0.0,0.0,0.0,0.0267,0.1906,0.0,1.5089,0.1369,0.0,0.0,0.0851
13.4816,5.1181,1.989,16.3002,8.8469,3.7676,8.0316,12.8218,23.3689,6.4486,5.8065,1.0433
0.0861,0.185,1.8429,4.1732,0.2541,0.4981,4.9774,0.9892,0.4393,0.0748,4.3486,0.2848
0.0,0.0347,0.0,0.0,0.0,0.0324,0.0426,0.0,0.0,0.0,0.0,0.0
28.0068,146.5439,37.775,48.4431,0.8509,71.4569,63.3799,78.9664,44.8429,20.9801,15.2702,14.0231
110.8536,110.5881,220.7425,160.0215,47.8802,236.5841,351.6095,245.0698,174.1134,124.4954,254.3662,46.7099
3.8849,0.2332,1.2585,0.5759,0.0,0.5439,0.1906,0.1276,4.1159,1.8709,0.2697,0.0
31.3988,12.4903,20.6038,24.635,3.8288,27.9801,25.024,52.0872,17.6914,20.3251,19.5044,15.9364
24.696,107.0926,24.1109,22.7797,6.6864,13.9467,8.0351,6.8666,25.7858,69.3799,7.3674,3.1625
30.3828,39.2579,131.9982,60.5097,14.0347,45.3981,179.3082,77.4724,125.2276,21.0487,40.2718,8.2544
0.1796,0.0794,0.2191,0.6019,0.0415,0.6663,0.4459,0.2171,0.8599,0.4634,1.1014,0.0551
184.8869,209.4325,78.5931,69.1284,24.9655,120.9155,191.7041,226.1009,46.7024,70.8223,50.6262,86.3517
0.021,0.0386,0.0582,0.0818,0.0,0.018,0.1184,0.0211,0.2071,14.6295,0.0975,0.0429
3.4611,9.6424,4.3527,4.6847,0.5755,5.1873,11.6782,8.6542,6.9204,2.3121,11.7029,0.8743
67.5865,75.1983,95.6318,90.2713,20.5108,159.8516,120.0835,121.7121,55.1769,127.894,98.959,47.7284
6.8829,17.2514,11.422,20.1864,0.5915,10.7004,22.8283,3.1267,18.9269,34.7521,12.7913,17.8619
10.9465,19.5959,8.7782,13.6362,14.035,17.3564,11.5789,10.5448,54.1848,22.7522,8.6392,7.0621
1.3759,1.0795,10.4795,3.9402,0.7631,13.8424,8.468,3.4535,3.0149,6.6476,2.851,1.8489
